Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\As9s6h.cfr
Action Line,Root CHECK CHECK 6c BET 300
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
As Js 6s,Kc,12.4594,61.13,501.445,136.725,38.87,97.0546,83.2212,47.50,52.50
As Js 6s,Ac,17.7574,59.41,474.778,133.181,40.59,123.722,101.615,46.92,53.08
As Js 6s,2d,13.7157,62.83,500.741,132.828,37.17,97.7588,87.67,46.49,53.51
As Js 6s,3d,14.157,62.51,499.795,133.263,37.49,98.7048,87.7549,46.79,53.21
As Js 6s,4d,13.1487,63.40,502.784,132.181,36.60,95.7156,87.1626,47.10,52.90
As Js 6s,5d,11.5282,63.70,505.768,132.325,36.30,92.7325,85.1606,46.56,53.44
As Js 6s,6d,16.1529,62.50,505.991,134.934,37.50,92.509,82.2272,45.15,54.85
As Js 6s,7d,6.59483,62.54,513.164,136.758,37.46,85.3363,75.9336,49.00,51.00
As Js 6s,8d,5.68614,62.39,510.923,136.486,37.61,87.5772,77.6194,49.63,50.37
As Js 6s,9d,4.8221,61.18,507.268,138.186,38.82,91.232,78.3416,50.89,49.11
As Js 6s,Td,6.37075,60.75,500.899,137.427,39.25,97.6016,82.8833,49.58,50.42
As Js 6s,Jd,8.59743,63.54,501.693,131.59,36.46,96.8066,88.5106,45.88,54.12
As Js 6s,Qd,12.5307,62.15,511.819,137.244,37.85,86.6812,76.346,49.32,50.68
As Js 6s,Kd,12.4594,61.13,501.445,136.725,38.87,97.0546,83.2212,47.50,52.50
As Js 6s,Ad,17.7574,59.41,474.778,133.181,40.59,123.722,101.615,46.92,53.08
As Js 6s,2h,13.7157,62.83,500.741,132.828,37.17,97.7588,87.67,46.49,53.51
As Js 6s,3h,14.157,62.51,499.795,133.263,37.49,98.7048,87.7549,46.79,53.21
As Js 6s,4h,13.1487,63.40,502.784,132.181,36.60,95.7156,87.1626,47.10,52.90
As Js 6s,5h,11.5282,63.70,505.768,132.325,36.30,92.7325,85.1606,46.56,53.44
As Js 6s,6h,16.1529,62.50,505.991,134.934,37.50,92.509,82.2272,45.15,54.85
As Js 6s,7h,6.59483,62.54,513.164,136.758,37.46,85.3363,75.9336,49.00,51.00
As Js 6s,8h,5.68614,62.39,510.923,136.486,37.61,87.5772,77.6194,49.63,50.37
As Js 6s,9h,4.8221,61.18,507.268,138.186,38.82,91.232,78.3416,50.89,49.11
As Js 6s,Th,6.37075,60.75,500.899,137.427,39.25,97.6016,82.8833,49.58,50.42
As Js 6s,Jh,8.59743,63.54,501.693,131.59,36.46,96.8066,88.5106,45.88,54.12
As Js 6s,Qh,12.5307,62.15,511.819,137.244,37.85,86.6812,76.346,49.32,50.68
As Js 6s,Kh,12.4594,61.13,501.445,136.725,38.87,97.0546,83.2212,47.50,52.50
As Js 6s,Ah,17.7574,59.41,474.778,133.181,40.59,123.722,101.615,46.92,53.08
As Js 6s,2s,4.50665,52.88,452.449,142.613,47.12,146.051,103.31,46.14,53.86
As Js 6s,3s,4.60682,52.90,451.84,142.351,47.10,146.66,103.798,46.24,53.76
As Js 6s,4s,4.1531,54.47,456.537,139.684,45.53,141.963,103.939,47.32,52.68
As Js 6s,5s,4.70581,54.23,461.024,141.695,45.77,137.476,100.115,47.59,52.41
As Js 6s,7s,5.44866,53.22,462.584,144.873,46.78,135.916,96.8417,50.50,49.50
As Js 6s,8s,4.56837,53.35,467.466,146.032,46.65,131.034,93.6331,52.27,47.73
As Js 6s,9s,5.79534,53.67,465.718,144.614,46.33,132.782,95.5412,53.36,46.64
As Js 6s,Ts,8.92673,52.35,443.125,141.076,47.65,155.375,108.693,52.36,47.64
As Js 6s,Qs,7.27345,53.23,452.809,141.776,46.77,145.691,103.836,54.27,45.73
As Js 6s,Ks,5.55516,53.39,451.768,141.023,46.61,146.732,104.94,52.15,47.85
Js 5h 3d,,7.43001,60.37,509.189,140.577,39.63,89.3109,75.1184,51.47,48.53
Js 5h 3d,2c,5.32341,63.00,529.399,140.046,37.00,69.1008,62.2577,52.45,47.55
Js 5h 3d,3c,5.08308,62.47,526.349,140.437,37.53,72.151,64.0758,50.36,49.64
Js 5h 3d,4c,5.65238,61.20,521.063,141.908,38.80,77.4369,66.5221,54.46,45.54
Js 5h 3d,5c,5.40196,61.88,522.392,140.708,38.12,76.1081,66.5454,50.53,49.47
Js 5h 3d,6c,5.52627,60.61,519.997,142.991,39.39,78.5033,66.4314,51.98,48.02
Js 5h 3d,7c,4.62117,60.01,515.173,143.072,39.99,83.3265,69.4617,52.30,47.70
Js 5h 3d,8c,5.89053,58.51,516.018,146.994,41.49,82.4822,66.2634,52.30,47.70
Js 5h 3d,9c,8.64464,57.18,496.778,144.793,42.82,101.722,79.1904,54.64,45.36
Js 5h 3d,Tc,8.59628,59.76,509.471,142.083,40.24,89.0289,73.7522,51.32,48.68
Js 5h 3d,Jc,5.29812,55.05,466.828,141.346,44.95,131.672,97.6336,51.66,48.34
Js 5h 3d,Qc,10.809,63.53,527.969,138.516,36.47,70.531,64.4589,48.06,51.94
Js 5h 3d,Kc,10.3097,61.58,507.749,137.429,38.42,90.7508,78.7295,45.16,54.84
Js 5h 3d,Ac,5.56143,60.78,506.322,138.85,39.22,92.1784,78.3343,43.41,56.59
Js 5h 3d,2d,6.39612,62.10,521.844,140.056,37.90,76.6563,67.4186,52.19,47.81
