Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\As9s6h.cfr
Action Line,Root CHECK CHECK 6c BET 300
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
Qs 8s 2h,7c,4.1254,59.19,495.118,139.424,40.81,103.382,84.4337,48.71,51.29
Qs 8s 2h,8c,5.4288,61.41,508.705,138.07,38.59,89.7953,77.5565,47.89,52.11
Qs 8s 2h,9c,5.42627,57.49,481.877,139.698,42.51,116.623,91.4484,52.09,47.91
Qs 8s 2h,Tc,10.4095,59.94,495.627,137.806,40.06,102.873,85.6051,53.51,46.49
Qs 8s 2h,Jc,8.47355,63.10,520.345,137.436,36.90,78.1548,70.6031,50.94,49.06
Qs 8s 2h,Qc,3.46,57.57,484.564,140.271,42.43,113.936,89.5186,50.73,49.27
Qs 8s 2h,Kc,13.3564,58.86,487.328,137.995,41.14,111.172,90.0724,47.17,52.83
Qs 8s 2h,Ac,7.6579,61.99,511.044,137.397,38.01,87.4555,76.6976,42.91,57.09
Qs 8s 2h,2d,5.92355,60.62,501.493,137.87,39.38,97.0073,82.1197,47.25,52.75
Qs 8s 2h,3d,5.19009,59.41,495.151,138.905,40.59,103.349,84.8751,49.77,50.23
Qs 8s 2h,4d,4.62815,57.00,483.175,141.267,43.00,115.325,89.4095,49.31,50.69
Qs 8s 2h,5d,4.43784,59.88,501.037,139.458,40.12,97.463,80.9742,48.52,51.48
Qs 8s 2h,6d,2.8073,59.34,496.011,139.306,40.66,102.489,84.0272,48.77,51.23
Qs 8s 2h,7d,4.1254,59.19,495.118,139.424,40.81,103.382,84.4337,48.71,51.29
Qs 8s 2h,8d,5.4288,61.41,508.705,138.07,38.59,89.7953,77.5565,47.89,52.11
Qs 8s 2h,9d,5.42627,57.49,481.877,139.698,42.51,116.623,91.4484,52.09,47.91
Qs 8s 2h,Td,10.4095,59.94,495.627,137.806,40.06,102.873,85.6051,53.51,46.49
Qs 8s 2h,Jd,8.47355,63.10,520.345,137.436,36.90,78.1548,70.6031,50.94,49.06
Qs 8s 2h,Qd,3.46,57.57,484.564,140.271,42.43,113.936,89.5186,50.73,49.27
Qs 8s 2h,Kd,13.3564,58.86,487.328,137.995,41.14,111.172,90.0724,47.17,52.83
Qs 8s 2h,Ad,7.6579,61.99,511.044,137.397,38.01,87.4555,76.6976,42.91,57.09
Qs 8s 2h,3h,6.73748,57.34,487.29,141.643,42.66,111.21,86.8918,57.12,42.88
Qs 8s 2h,4h,6.80939,58.01,489.504,140.637,41.99,108.996,86.5266,56.14,43.86
Qs 8s 2h,5h,6.54901,56.87,485.644,142.334,43.13,112.856,87.2149,55.50,44.50
Qs 8s 2h,6h,4.62952,57.30,484.908,141.039,42.70,113.592,88.6785,55.35,44.65
Qs 8s 2h,7h,5.69504,57.76,488.942,141.091,42.24,109.558,86.451,55.37,44.63
Qs 8s 2h,8h,5.97381,59.36,498.335,139.926,40.64,100.165,82.1502,53.11,46.89
Qs 8s 2h,9h,9.27424,56.16,477.739,141.77,43.84,120.761,91.8266,60.47,39.53
Qs 8s 2h,Th,12.7826,57.25,482.073,140.345,42.75,116.427,90.7786,58.15,41.85
Qs 8s 2h,Jh,9.85561,61.12,506.173,138.032,38.88,92.3274,79.151,54.93,45.07
Qs 8s 2h,Qh,3.98889,56.21,481.503,142.769,43.79,116.997,89.0592,57.65,42.35
Qs 8s 2h,Kh,15.7013,57.49,481.923,139.703,42.51,116.577,91.4196,49.40,50.60
Qs 8s 2h,Ah,8.94742,61.22,506.898,137.989,38.78,91.6016,78.7456,46.23,53.77
Qs 8s 2h,2s,6.62518,60.64,503.017,138.263,39.36,95.4828,80.8535,45.46,54.54
Qs 8s 2h,3s,5.38365,59.77,498.314,138.958,40.23,100.186,83.0068,45.66,54.34
Qs 8s 2h,4s,5.1123,58.17,493.467,141.38,41.83,105.034,83.7041,45.93,54.07
Qs 8s 2h,5s,4.77803,59.32,498.182,139.979,40.68,100.318,82.1939,45.97,54.03
Qs 8s 2h,6s,2.69,58.36,488.67,139.548,41.64,109.83,87.9273,47.22,52.78
Qs 8s 2h,7s,3.20753,59.69,497.363,138.882,40.31,101.137,83.6251,45.71,54.29
Qs 8s 2h,9s,6.1667,60.91,503.867,137.883,39.09,94.6335,80.6868,49.56,50.44
Qs 8s 2h,Ts,8.61481,62.52,512.556,136.644,37.48,85.9439,76.4292,51.66,48.34
Qs 8s 2h,Js,6.7746,62.35,511.14,136.625,37.65,87.3602,77.351,51.53,48.47
Qs 8s 2h,Ks,7.10118,59.51,481.02,134.711,40.49,117.48,96.7213,46.89,53.11
Qs 8s 2h,As,6.8357,64.51,519.105,134.122,35.49,79.3949,74.5627,46.08,53.92
Ts 7h 4d,,4.61372,58.67,502.832,142.835,41.33,95.6681,77.1635,51.66,48.34
Ts 7h 4d,2c,2.551,58.37,511.753,146.124,41.63,86.7471,69.458,50.70,49.30
Ts 7h 4d,3c,2.60732,58.62,515.054,146.44,41.38,83.4463,67.2189,51.38,48.62
Ts 7h 4d,4c,3.55593,56.96,501.084,146.623,43.04,97.4155,75.4425,50.40,49.60
Ts 7h 4d,5c,3.27429,58.59,513.331,146.024,41.41,85.1684,68.557,51.19,48.81
Ts 7h 4d,6c,2.66213,58.34,498.294,142.35,41.66,100.206,80.1805,52.71,47.29
Ts 7h 4d,7c,3.68394,57.29,504.894,146.889,42.71,93.6059,73.0508,50.82,49.18
Ts 7h 4d,8c,2.30735,60.18,505.557,140.02,39.82,92.9426,77.7963,57.38,42.62
Ts 7h 4d,9c,5.02863,56.80,497.13,145.882,43.20,101.37,78.2099,53.85,46.15
Ts 7h 4d,Tc,2.85759,51.63,454.474,146.698,48.37,144.026,99.2603,51.80,48.20
Ts 7h 4d,Jc,9.16035,54.54,478.219,146.124,45.46,120.281,88.205,52.68,47.32
Ts 7h 4d,Qc,5.6422,59.06,502.724,141.868,40.94,95.7764,77.9815,49.79,50.21
Ts 7h 4d,Kc,4.44124,60.44,512.21,141.243,39.56,86.2897,72.7092,47.59,52.41
Ts 7h 4d,Ac,5.68227,59.87,514.43,143.208,40.13,84.0695,69.8306,44.29,55.71
Ts 7h 4d,2d,3.52942,60.12,516.623,143.23,39.88,81.877,68.4286,49.20,50.80
Ts 7h 4d,3d,3.36595,60.18,518.692,143.659,39.82,79.8077,66.8011,50.44,49.56
Ts 7h 4d,5d,3.79754,60.09,516.373,143.219,39.91,82.1265,68.5956,51.55,48.45
Ts 7h 4d,6d,3.7768,60.91,511.349,139.923,39.09,87.1507,74.3136,51.39,48.61
Ts 7h 4d,7d,3.6477,59.08,514.221,145.058,40.92,84.2787,68.6568,50.45,49.55
Ts 7h 4d,8d,3.11198,59.59,505.465,141.37,40.41,93.0346,76.7445,59.33,40.67
Ts 7h 4d,9d,5.73581,58.87,497.672,140.898,41.13,100.828,81.7132,54.52,45.48
Ts 7h 4d,Td,3.22244,53.87,469.85,145.365,46.13,128.65,92.962,51.35,48.65
Ts 7h 4d,Jd,8.5804,54.24,475.782,146.186,45.76,122.718,89.4002,56.61,43.39
Ts 7h 4d,Qd,6.42282,59.81,505.363,140.814,40.19,93.1372,77.2557,50.41,49.59
Ts 7h 4d,Kd,6.00103,61.54,510.643,138.296,38.46,87.8572,76.1454,49.59,50.41
Ts 7h 4d,Ad,5.62184,61.21,515.592,140.387,38.79,82.9079,71.2467,45.37,54.63
Ts 7h 4d,2h,3.5352,59.88,514.824,143.284,40.12,83.6762,69.5283,49.26,50.74
Ts 7h 4d,3h,3.35837,60.03,517.072,143.564,39.97,81.4285,67.9049,50.66,49.34
Ts 7h 4d,4h,3.50031,58.83,512.085,145.063,41.17,86.4154,69.9741,49.96,50.04
Ts 7h 4d,5h,3.80955,59.82,514.551,143.357,40.18,83.9493,69.6469,51.65,48.35
Ts 7h 4d,6h,3.80345,60.68,509.444,139.937,39.32,89.0559,75.4875,51.38,48.62
Ts 7h 4d,8h,3.08835,59.28,503.086,141.453,40.72,95.4144,78.0987,59.37,40.63
Ts 7h 4d,9h,5.73789,58.75,496.89,140.963,41.25,101.61,82.1079,54.48,45.52
Ts 7h 4d,Th,3.56576,54.95,478.113,145.002,45.05,120.387,89.0858,50.91,49.09
Ts 7h 4d,Jh,8.63405,54.23,475.861,146.245,45.77,122.639,89.3172,56.87,43.13
Ts 7h 4d,Qh,6.42331,60.15,507.212,140.542,39.85,91.2882,76.3587,50.60,49.40
Ts 7h 4d,Kh,6.01126,61.48,510.007,138.265,38.52,88.4926,76.5713,49.86,50.14
Ts 7h 4d,Ah,5.61525,61.22,515.512,140.334,38.78,82.9883,71.3409,45.41,54.59
Ts 7h 4d,2s,3.51494,60.66,520.75,143.09,39.34,77.7502,65.8711,49.85,50.15
Ts 7h 4d,3s,3.4255,60.88,522.333,142.999,39.12,76.1674,64.898,51.20,48.80
Ts 7h 4d,4s,3.52327,59.07,516.37,145.694,40.93,82.1303,66.8869,50.55,49.45
Ts 7h 4d,5s,3.82534,60.68,521.395,143.201,39.32,77.1048,65.3709,51.70,48.30
Ts 7h 4d,6s,3.99195,60.79,511.64,140.274,39.21,86.8602,73.8426,52.34,47.66
Ts 7h 4d,7s,3.77143,60.52,524.935,144.554,39.48,73.5655,62.1174,50.27,49.73
Ts 7h 4d,8s,3.46592,60.01,508.664,141.267,39.99,89.8353,74.8855,60.61,39.39
Ts 7h 4d,9s,5.72815,59.35,501.775,140.9,40.65,96.7249,79.322,53.80,46.20
Ts 7h 4d,Js,9.38499,53.58,471.679,146.715,46.42,126.821,91.0725,57.06,42.94
Ts 7h 4d,Qs,6.6415,59.17,502.403,141.504,40.83,96.0966,78.4604,50.80,49.20
Ts 7h 4d,Ks,5.79631,61.46,511.244,138.641,38.54,87.2556,75.4653,49.34,50.66
Ts 7h 4d,As,5.652,61.07,517.561,141.256,38.93,80.939,69.2968,45.84,54.16
  ,,6.67106,59.83,500.061,139.296,40.17,98.4389,81.6891,49.78,50.22
