Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\Ts7h4d.cfr
Action Line,Root CHECK CHECK As CHECK BET 300
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
As Js 6s,Qc,3.96572,40.17,110.494,91.6966,59.83,488.006,135.935,38.52,61.48
As Js 6s,Kc,1.94813,39.19,105.867,90.0542,60.81,492.633,135.012,36.89,63.11
As Js 6s,Ac,0.61247,28.48,62.9964,73.7285,71.52,535.504,124.793,30.76,69.24
As Js 6s,2d,3.82981,33.19,70.6769,70.9747,66.81,527.823,131.68,32.94,67.06
As Js 6s,3d,4.18307,32.46,71.3761,73.3012,67.54,527.124,130.073,33.48,66.52
As Js 6s,4d,4.87154,33.80,76.3207,75.2651,66.20,522.179,131.467,33.88,66.12
As Js 6s,5d,3.67766,35.54,70.2767,65.9206,64.46,528.223,136.568,33.95,66.05
As Js 6s,6d,0.91419,32.44,72.0217,74.0163,67.56,526.478,129.87,29.94,70.06
As Js 6s,7d,7.47772,36.28,83.6002,76.8046,63.72,514.9,134.683,35.51,64.49
As Js 6s,8d,9.23339,35.62,82.5799,77.2716,64.38,515.92,133.568,35.32,64.68
As Js 6s,9d,9.46129,37.58,89.7175,79.5875,62.42,508.783,135.841,35.50,64.50
As Js 6s,Td,3.80063,39.46,101.699,85.9197,60.54,496.801,136.758,38.69,61.31
As Js 6s,Jd,1.59692,34.36,63.1925,61.3044,65.64,535.308,135.92,30.05,69.95
As Js 6s,Qd,3.96572,40.17,110.494,91.6966,59.83,488.006,135.935,38.52,61.48
As Js 6s,Kd,1.94813,39.19,105.867,90.0542,60.81,492.633,135.012,36.89,63.11
As Js 6s,Ad,0.61247,28.48,62.9964,73.7285,71.52,535.504,124.793,30.76,69.24
As Js 6s,2h,3.82981,33.19,70.6769,70.9747,66.81,527.823,131.68,32.94,67.06
As Js 6s,3h,4.18307,32.46,71.3761,73.3012,67.54,527.124,130.073,33.48,66.52
As Js 6s,4h,4.87154,33.80,76.3207,75.2651,66.20,522.179,131.467,33.88,66.12
As Js 6s,5h,3.67766,35.54,70.2767,65.9206,64.46,528.223,136.568,33.95,66.05
As Js 6s,6h,0.91419,32.44,72.0217,74.0163,67.56,526.478,129.87,29.94,70.06
As Js 6s,7h,7.47772,36.28,83.6002,76.8046,63.72,514.9,134.683,35.51,64.49
As Js 6s,8h,9.23339,35.62,82.5799,77.2716,64.38,515.92,133.568,35.32,64.68
As Js 6s,9h,9.46129,37.58,89.7175,79.5875,62.42,508.783,135.841,35.50,64.50
As Js 6s,Th,3.80063,39.46,101.699,85.9197,60.54,496.801,136.758,38.69,61.31
As Js 6s,Jh,1.59692,34.36,63.1925,61.3044,65.64,535.308,135.92,30.05,69.95
As Js 6s,Qh,3.96572,40.17,110.494,91.6966,59.83,488.006,135.935,38.52,61.48
As Js 6s,Kh,1.94813,39.19,105.867,90.0542,60.81,492.633,135.012,36.89,63.11
As Js 6s,Ah,0.61247,28.48,62.9964,73.7285,71.52,535.504,124.793,30.76,69.24
As Js 6s,2s,0.34977,45.62,128.571,93.9344,54.38,469.929,144.038,37.83,62.17
As Js 6s,3s,0.48783,44.61,133.83,99.9964,55.39,464.67,139.822,38.61,61.39
As Js 6s,4s,4.01432,44.03,144.603,109.461,55.97,453.897,135.172,37.98,62.02
As Js 6s,5s,1.65522,43.71,142.508,108.689,56.29,455.992,135.001,37.86,62.14
As Js 6s,7s,6.57905,45.62,143.582,104.918,54.38,454.918,139.419,38.70,61.30
As Js 6s,8s,8.1986,46.09,148.519,107.419,53.91,449.981,139.108,40.35,59.65
As Js 6s,9s,9.10475,46.49,146.413,104.968,53.51,452.087,140.822,41.55,58.45
As Js 6s,Ts,2.71262,45.99,147.606,106.987,54.01,450.894,139.136,43.15,56.85
As Js 6s,Qs,6.38306,44.24,138.388,104.268,55.76,460.112,137.531,41.93,58.07
As Js 6s,Ks,6.00943,42.13,127.86,101.174,57.87,470.64,135.534,40.97,59.03
Js 5h 3d,,2.76473,36.96,91.5429,82.5586,63.04,506.957,134.032,36.23,63.77
Js 5h 3d,2c,1.47656,34.43,80.0004,77.447,65.57,518.5,131.798,34.61,65.39
