Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\Ts7h4d.cfr
Action Line,Root CHECK CHECK 4h
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 300 freq,CHECK freq
Qs 8s 2h,2d,32.4079,43.41,126.184,96.9015,56.59,172.316,101.493,18.28,81.72
Qs 8s 2h,3d,32.3589,43.58,125.98,96.3539,56.42,172.52,101.93,16.04,83.96
Qs 8s 2h,4d,31.4415,44.54,128.426,96.1113,55.46,170.074,102.222,14.72,85.28
Qs 8s 2h,5d,30.5924,43.46,126.642,97.1232,56.54,171.858,101.327,14.51,85.49
Qs 8s 2h,6d,30.0829,43.95,121.895,92.4516,56.05,176.605,105.027,9.33,90.67
Qs 8s 2h,7d,30.3991,44.73,127.372,94.9199,55.27,171.128,103.207,13.57,86.43
Qs 8s 2h,8d,31.063,44.16,127.973,96.6031,55.84,170.527,101.791,17.48,82.52
Qs 8s 2h,9d,28.4015,43.83,124.414,94.6212,56.17,174.086,103.307,19.11,80.89
Qs 8s 2h,Td,28.6787,45.18,131.694,97.1536,54.82,166.806,101.434,36.30,63.70
Qs 8s 2h,Jd,27.6611,47.41,143.914,101.186,52.59,154.586,97.9803,30.63,69.37
Qs 8s 2h,Qd,29.7339,41.33,109.77,88.5235,58.67,188.73,107.234,11.64,88.36
Qs 8s 2h,Kd,27.8115,47.98,140.678,97.729,52.02,157.822,101.134,48.02,51.98
Qs 8s 2h,Ad,25.6082,45.37,137.396,100.944,54.63,161.104,98.3009,29.90,70.10
Qs 8s 2h,3h,32.4395,43.42,125.545,96.3766,56.58,172.955,101.897,20.77,79.23
Qs 8s 2h,4h,31.4101,44.41,128.291,96.297,55.59,170.209,102.059,21.68,78.32
Qs 8s 2h,5h,30.6651,43.36,126.721,97.4143,56.64,171.779,101.097,21.36,78.64
Qs 8s 2h,6h,29.8923,43.67,121.197,92.5157,56.33,177.303,104.914,15.49,84.51
Qs 8s 2h,7h,30.3154,44.19,125.415,94.605,55.81,173.085,103.376,18.79,81.21
Qs 8s 2h,8h,30.5408,43.65,125.677,95.9793,56.35,172.823,102.227,19.56,80.44
Qs 8s 2h,9h,29.8712,43.96,124.904,94.7013,56.04,173.596,103.265,31.05,68.95
Qs 8s 2h,Th,29.6441,45.29,132.288,97.3598,54.71,166.212,101.272,43.12,56.88
Qs 8s 2h,Jh,28.4152,47.06,142.021,100.586,52.94,156.479,98.5347,34.68,65.32
Qs 8s 2h,Qh,28.4383,41.25,109.557,88.539,58.75,188.943,107.195,14.03,85.97
Qs 8s 2h,Kh,28.644,48.14,142.715,98.8097,51.86,155.785,100.141,54.82,45.18
Qs 8s 2h,Ah,25.3232,45.53,139.423,102.084,54.47,159.077,97.3401,35.33,64.67
Qs 8s 2h,2s,32.2898,43.33,124.624,95.8803,56.67,173.876,102.267,20.52,79.48
Qs 8s 2h,3s,32.5966,43.46,124.482,95.4867,56.54,174.018,102.584,16.52,83.48
Qs 8s 2h,4s,32.0655,44.11,126.183,95.3548,55.89,172.317,102.772,15.94,84.06
Qs 8s 2h,5s,32.3153,43.04,123.351,95.535,56.96,175.149,102.496,14.79,85.21
Qs 8s 2h,6s,31.5416,43.77,120.989,92.1311,56.23,177.511,105.237,8.53,91.47
Qs 8s 2h,7s,32.0137,44.10,123.222,93.142,55.90,175.278,104.516,10.02,89.98
Qs 8s 2h,9s,31.2441,44.64,128.484,95.9507,55.36,170.016,102.361,19.74,80.26
Qs 8s 2h,Ts,30.6897,47.03,139.324,98.7492,52.97,159.176,100.167,28.07,71.93
Qs 8s 2h,Js,29.3148,47.01,137.086,97.2016,52.99,161.414,101.539,23.11,76.89
Qs 8s 2h,Ks,29.2011,46.17,127.972,92.382,53.83,170.528,105.606,24.32,75.68
Qs 8s 2h,As,25.4937,45.06,136.997,101.351,54.94,161.503,97.9823,26.81,73.19
Ts 7h 4d,,14.6917,49.22,147.897,100.151,50.78,150.603,98.8691,31.40,68.60
Ts 7h 4d,2c,15.7706,50.79,152.553,100.118,49.21,145.947,98.8626,16.18,83.82
Ts 7h 4d,3c,15.7247,52.03,157.954,101.201,47.97,140.546,97.6555,16.58,83.42
Ts 7h 4d,4c,15.8737,49.26,149.889,101.431,50.74,148.611,97.6256,22.40,77.60
Ts 7h 4d,5c,15.4443,51.89,158.128,101.571,48.11,140.372,97.2658,21.20,78.80
Ts 7h 4d,6c,15.699,51.89,154.403,99.1845,48.11,144.097,99.8403,16.96,83.04
Ts 7h 4d,7c,15.0905,49.80,153.814,102.95,50.20,144.686,96.0772,24.41,75.59
Ts 7h 4d,8c,15.7206,47.82,140.443,97.8987,52.18,158.057,100.967,14.68,85.32
Ts 7h 4d,9c,14.0891,48.17,141.599,97.9911,51.83,156.901,100.902,35.69,64.31
Ts 7h 4d,Tc,14.2017,45.48,121.766,89.2493,54.52,176.734,108.05,20.12,79.88
Ts 7h 4d,Jc,13.306,48.68,148.877,101.934,51.32,149.623,97.1909,68.84,31.16
Ts 7h 4d,Qc,13.8462,46.17,143.87,103.863,53.83,154.63,95.7574,40.75,59.25
Ts 7h 4d,Kc,12.8261,49.51,152.435,102.633,50.49,146.065,96.428,34.63,65.37
Ts 7h 4d,Ac,12.3014,49.40,157.124,106.021,50.60,141.376,93.1334,46.19,53.81
Ts 7h 4d,2d,15.7708,50.07,148.569,98.9029,49.93,149.931,100.099,22.38,77.62
Ts 7h 4d,3d,15.726,51.17,153.084,99.7298,48.83,145.416,99.2593,21.40,78.60
Ts 7h 4d,5d,15.6303,50.79,152.15,99.8637,49.21,146.35,99.1246,24.30,75.70
Ts 7h 4d,6d,15.7645,51.04,149.762,97.8011,48.96,148.738,101.271,23.96,76.04
Ts 7h 4d,7d,15.0848,49.35,150.763,101.833,50.65,147.737,97.2268,24.18,75.82
Ts 7h 4d,8d,15.8636,47.34,137.532,96.8395,52.66,160.968,101.892,19.62,80.38
Ts 7h 4d,9d,14.708,48.09,140.474,97.3731,51.91,158.026,101.47,39.00,61.00
Ts 7h 4d,Td,13.9299,46.10,125.631,90.8424,53.90,172.869,106.904,23.13,76.87
Ts 7h 4d,Jd,13.418,48.10,143.703,99.5838,51.90,154.797,99.4224,63.95,36.05
Ts 7h 4d,Qd,13.9441,47.17,147.641,104.323,52.83,150.859,95.1933,46.06,53.94
Ts 7h 4d,Kd,13.4776,49.71,152.985,102.586,50.29,145.515,96.4497,44.53,55.47
Ts 7h 4d,Ad,12.2139,47.93,151.323,105.244,52.07,147.177,94.2134,46.03,53.97
Ts 7h 4d,2h,15.7706,50.01,148.143,98.7364,49.99,150.357,100.264,22.42,77.58
Ts 7h 4d,3h,15.7258,51.11,152.644,99.5606,48.89,145.856,99.4367,21.36,78.64
Ts 7h 4d,4h,15.8737,48.75,146.502,100.172,51.25,151.998,98.8608,22.05,77.95
Ts 7h 4d,5h,15.6245,50.73,151.711,99.6808,49.27,146.789,99.3139,24.38,75.62
Ts 7h 4d,6h,15.7576,50.97,149.217,97.5938,49.03,149.283,101.481,24.14,75.86
Ts 7h 4d,8h,15.856,47.27,136.935,96.5542,52.73,161.565,102.141,19.48,80.52
Ts 7h 4d,9h,14.6953,48.08,140.34,97.2865,51.92,158.16,101.55,39.05,60.95
Ts 7h 4d,Th,14.1032,46.73,129.219,92.1727,53.27,169.282,105.928,25.28,74.72
Ts 7h 4d,Jh,13.4137,48.01,143.104,99.3503,51.99,155.396,99.6383,64.37,35.63
Ts 7h 4d,Qh,13.9395,47.10,147.217,104.194,52.90,151.283,95.3209,46.08,53.92
Ts 7h 4d,Kh,13.5009,49.66,152.673,102.481,50.34,145.827,96.5594,44.52,55.48
Ts 7h 4d,Ah,12.2305,47.94,151.251,105.166,52.06,147.249,94.282,45.91,54.09
Ts 7h 4d,2s,15.7669,50.66,152.367,100.252,49.34,146.133,98.7277,22.29,77.71
Ts 7h 4d,3s,15.7217,51.77,157.035,101.118,48.23,141.465,97.7632,21.79,78.21
Ts 7h 4d,4s,15.8737,49.34,150.199,101.481,50.66,148.301,97.5709,22.20,77.80
Ts 7h 4d,5s,15.6312,51.37,156.068,101.268,48.63,142.432,97.6326,24.47,75.53
Ts 7h 4d,6s,15.7026,51.59,153.425,99.1406,48.41,145.075,99.883,25.42,74.58
Ts 7h 4d,7s,15.2459,50.42,157.096,103.858,49.58,141.404,95.0683,24.74,75.26
Ts 7h 4d,8s,15.8592,47.97,141.403,98.2555,52.03,157.097,100.647,21.85,78.15
Ts 7h 4d,9s,14.6159,48.62,143.96,98.7045,51.38,154.54,100.253,39.19,60.81
Ts 7h 4d,Js,13.7447,48.04,143.439,99.5203,51.96,155.061,99.4813,68.28,31.72
Ts 7h 4d,Qs,14.1049,46.70,145.718,104.01,53.30,152.782,95.5482,47.09,52.91
Ts 7h 4d,Ks,13.5271,49.55,153.09,102.986,50.45,145.41,96.0765,42.85,57.15
Ts 7h 4d,As,12.1853,48.67,155.598,106.57,51.33,142.902,92.797,46.38,53.62
  ,,30.2286,46.19,134.02,96.7085,53.81,164.48,101.897,22.07,77.93
