Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\Ts7h4d.cfr
Action Line,Root CHECK CHECK As CHECK
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 300 freq,CHECK freq
As Js 6s,Kc,30.6613,45.04,128.865,95.3632,54.96,169.635,102.891,6.35,93.65
As Js 6s,Ac,28.1499,37.94,97.3812,85.5609,62.06,201.119,108.021,2.18,97.82
As Js 6s,2d,38.2324,40.28,107.069,88.5942,59.72,191.431,106.857,10.02,89.98
As Js 6s,3d,37.5598,40.61,107.816,88.5068,59.39,190.684,107.015,11.14,88.86
As Js 6s,4d,37.864,40.72,109.142,89.3478,59.28,189.358,106.473,12.87,87.13
As Js 6s,5d,38.2349,41.61,112.116,89.8077,58.39,186.384,106.408,9.62,90.38
As Js 6s,6d,33.2396,43.22,120.102,92.6183,56.78,178.398,104.739,2.75,97.25
As Js 6s,7d,41.3414,44.01,118.377,89.6561,55.99,180.123,107.238,18.09,81.91
As Js 6s,8d,42.4255,43.15,116.252,89.8037,56.85,182.248,106.86,21.76,78.24
As Js 6s,9d,40.5441,44.96,122.157,90.5569,55.04,176.343,106.807,23.34,76.66
As Js 6s,Td,37.4979,46.77,129.606,92.3798,53.23,168.894,105.755,10.14,89.86
As Js 6s,Jd,36.8475,40.88,107.708,87.8266,59.12,190.792,107.572,4.33,95.67
As Js 6s,Qd,31.9896,46.31,131.219,94.4533,53.69,167.281,103.853,12.40,87.60
As Js 6s,Kd,30.6613,45.04,128.865,95.3632,54.96,169.635,102.891,6.35,93.65
As Js 6s,Ad,28.1499,37.94,97.3812,85.5609,62.06,201.119,108.021,2.18,97.82
As Js 6s,2h,38.2324,40.28,107.069,88.5942,59.72,191.431,106.857,10.02,89.98
As Js 6s,3h,37.5598,40.61,107.816,88.5068,59.39,190.684,107.015,11.14,88.86
As Js 6s,4h,37.864,40.72,109.142,89.3478,59.28,189.358,106.473,12.87,87.13
As Js 6s,5h,38.2349,41.61,112.116,89.8078,58.39,186.384,106.408,9.62,90.38
As Js 6s,6h,33.2396,43.22,120.102,92.6183,56.78,178.398,104.739,2.75,97.25
As Js 6s,7h,41.3414,44.01,118.377,89.6561,55.99,180.123,107.238,18.09,81.91
As Js 6s,8h,42.4255,43.15,116.252,89.8037,56.85,182.248,106.86,21.76,78.24
As Js 6s,9h,40.5441,44.96,122.157,90.5569,55.04,176.343,106.807,23.34,76.66
As Js 6s,Th,37.4979,46.77,129.606,92.3798,53.23,168.894,105.755,10.14,89.86
As Js 6s,Jh,36.8475,40.88,107.708,87.8266,59.12,190.792,107.572,4.33,95.67
As Js 6s,Qh,31.9896,46.31,131.219,94.4533,53.69,167.281,103.853,12.40,87.60
As Js 6s,Kh,30.6613,45.04,128.865,95.3632,54.96,169.635,102.891,6.35,93.65
As Js 6s,Ah,28.1499,37.94,97.3812,85.5609,62.06,201.119,108.021,2.18,97.82
As Js 6s,2s,47.4414,45.62,136.359,99.6408,54.38,162.141,99.3819,0.74,99.26
As Js 6s,3s,47.1088,45.56,135.37,99.0499,54.44,163.13,99.8766,1.04,98.96
As Js 6s,4s,45.9421,45.16,134.067,98.9482,54.84,164.433,99.9545,8.74,91.26
As Js 6s,5s,45.493,46.22,138.449,99.8417,53.78,160.051,99.2063,3.64,96.36
As Js 6s,7s,43.2221,45.63,134.883,98.5446,54.37,163.616,100.302,15.22,84.78
As Js 6s,8s,43.816,45.68,136.699,99.7583,54.32,161.801,99.2829,18.71,81.29
As Js 6s,9s,41.2625,45.95,137.134,99.4911,54.05,161.366,99.5075,22.07,77.93
As Js 6s,Ts,37.2218,46.33,140.267,100.925,53.67,158.232,98.2701,7.29,92.71
As Js 6s,Qs,37.4638,46.16,135.675,97.9651,53.84,162.825,100.816,17.04,82.96
As Js 6s,Ks,38.8238,44.41,125.374,94.1036,55.59,173.126,103.811,15.48,84.52
Js 5h 3d,,17.1617,43.47,120.696,92.553,56.53,177.804,104.842,16.11,83.89
Js 5h 3d,2c,21.4542,44.72,127.219,94.8229,55.28,171.281,103.284,6.88,93.12
Js 5h 3d,3c,21.609,44.63,127.189,95.0024,55.37,171.311,103.125,5.99,94.01
Js 5h 3d,4c,20.925,46.36,132.986,95.6191,53.64,165.514,102.854,12.62,87.38
Js 5h 3d,5c,20.6681,44.81,128.621,95.6719,55.19,169.879,102.609,6.37,93.63
Js 5h 3d,6c,20.7601,48.51,139.781,96.0496,51.49,158.719,102.751,12.18,87.82
Js 5h 3d,7c,21.0905,48.18,137.97,95.4566,51.82,160.53,103.259,14.93,85.07
Js 5h 3d,8c,19.4335,44.51,127.04,95.147,55.49,171.46,102.991,14.13,85.87
Js 5h 3d,9c,14.5472,43.29,114.504,88.1605,56.71,183.996,108.157,27.96,72.04
Js 5h 3d,Tc,13.5382,44.49,117.491,88.0267,55.51,181.009,108.696,28.20,71.80
Js 5h 3d,Jc,18.8956,42.79,111.39,86.7664,57.21,187.11,109.025,4.63,95.37
Js 5h 3d,Qc,11.9365,38.89,114.287,97.9608,61.11,184.213,100.479,23.20,76.80
Js 5h 3d,Kc,10.9399,44.48,130.575,97.8428,55.52,167.925,100.828,10.83,89.17
Js 5h 3d,Ac,16.6239,40.76,110.766,90.5867,59.24,187.734,105.632,10.38,89.62
Js 5h 3d,2d,20.3815,42.73,116.777,91.0913,57.27,181.723,105.774,12.22,87.78
Js 5h 3d,4d,19.9372,43.48,119.618,91.705,56.52,178.882,105.496,15.05,84.95
Js 5h 3d,5d,19.9019,43.40,122.203,93.8619,56.60,176.297,103.823,7.02,92.98
Js 5h 3d,6d,20.3062,46.50,130.272,93.3824,53.50,168.228,104.817,14.15,85.85
Js 5h 3d,7d,20.3967,47.04,132.879,94.1525,52.96,165.621,104.251,17.80,82.20
Js 5h 3d,8d,19.319,43.21,120.649,93.0788,56.79,177.851,104.385,19.62,80.38
Js 5h 3d,9d,15.7445,43.91,117.13,88.9142,56.09,181.37,107.788,33.11,66.89
Js 5h 3d,Td,11.733,41.86,111.328,88.6565,58.14,187.172,107.306,37.22,62.78
Js 5h 3d,Jd,17.8723,41.38,104.285,84.0029,58.62,194.215,110.44,8.20,91.80
Js 5h 3d,Qd,11.69,37.43,106.18,94.5636,62.57,192.32,102.453,29.67,70.33
Js 5h 3d,Kd,8.90801,38.05,109.369,95.8224,61.95,189.131,101.758,15.27,84.73
Js 5h 3d,Ad,15.4859,39.01,103.192,88.1781,60.99,195.308,106.741,13.81,86.19
Js 5h 3d,2h,20.4478,42.83,117.273,91.2725,57.17,181.227,105.664,11.97,88.03
Js 5h 3d,3h,20.5854,43.09,120.417,93.1488,56.91,178.083,104.309,6.49,93.51
Js 5h 3d,4h,19.9574,43.51,119.702,91.7001,56.49,178.798,105.508,14.86,85.14
Js 5h 3d,6h,20.277,46.44,129.988,93.3022,53.56,168.512,104.874,13.56,86.44
Js 5h 3d,7h,20.3788,47.08,133.067,94.2072,52.92,165.433,104.209,17.63,82.37
Js 5h 3d,8h,19.3341,43.25,120.832,93.1264,56.75,177.668,104.357,19.19,80.81
Js 5h 3d,9h,15.9567,43.93,117.197,88.9288,56.07,181.303,107.782,33.08,66.92
Js 5h 3d,Th,11.7663,41.83,111.389,88.7717,58.17,187.111,107.213,37.60,62.40
Js 5h 3d,Jh,17.8639,41.38,104.334,84.0535,58.62,194.166,110.402,7.74,92.26
Js 5h 3d,Qh,11.671,37.31,105.853,94.5651,62.69,192.647,102.437,29.42,70.58
Js 5h 3d,Kh,9.074,38.11,109.628,95.8904,61.89,188.872,101.723,15.63,84.37
Js 5h 3d,Ah,15.3726,39.00,102.966,88.0069,61.00,195.534,106.848,13.64,86.36
Js 5h 3d,2s,20.2711,43.20,119.73,92.3894,56.80,178.77,104.908,12.77,87.23
Js 5h 3d,3s,20.6288,43.81,124.397,94.6546,56.19,174.103,103.277,6.27,93.73
Js 5h 3d,4s,19.8923,43.98,123.181,93.3686,56.02,175.319,104.313,16.23,83.77
Js 5h 3d,5s,19.9389,44.08,126.121,95.3691,55.92,172.379,102.756,6.81,93.19
Js 5h 3d,6s,20.2674,46.96,132.935,94.3642,53.04,165.565,104.047,14.32,85.68
Js 5h 3d,7s,20.0982,47.49,135.808,95.3233,52.51,162.692,103.277,19.39,80.61
Js 5h 3d,8s,19.0115,43.58,123.212,94.2514,56.42,175.288,103.553,18.87,81.13
Js 5h 3d,9s,16.1968,43.99,117.573,89.0841,56.01,180.927,107.682,33.13,66.87
Js 5h 3d,Ts,11.6852,41.72,111.665,89.2283,58.28,186.835,106.852,38.17,61.83
Js 5h 3d,Qs,11.859,37.52,107.407,95.4141,62.48,191.093,101.954,30.52,69.48
Js 5h 3d,Ks,8.63228,37.42,107.855,96.0671,62.58,190.645,101.553,15.76,84.24
Js 5h 3d,As,15.659,39.40,105.054,88.8834,60.60,193.446,106.402,13.96,86.04
Ks 5h 4h,,25.0348,39.03,106.691,91.1136,60.97,191.809,104.869,13.40,86.60
Ks 5h 4h,2c,27.4915,37.93,101.29,89.0122,62.07,197.21,105.909,9.52,90.48
Ks 5h 4h,3c,28.7016,39.02,107.88,92.1566,60.98,190.62,104.199,15.85,84.15
Ks 5h 4h,4c,25.8084,37.44,103.386,92.0463,62.56,195.114,103.961,0.49,99.51
Ks 5h 4h,5c,27.9295,38.21,104.322,90.9971,61.79,194.178,104.759,0.81,99.19
Ks 5h 4h,6c,28.6022,42.36,120.144,94.5337,57.64,178.356,103.15,10.97,89.03
Ks 5h 4h,7c,28.1379,42.77,120.218,93.6976,57.23,178.282,103.836,7.00,93.00
