Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\Ts7h4d.cfr
Action Line,Root CHECK CHECK As CHECK
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 300 freq,CHECK freq
Qs 8s 2h,2d,26.4844,39.56,109.341,92.141,60.44,189.159,104.316,6.03,93.97
Qs 8s 2h,3d,27.1688,40.56,112.766,92.6776,59.44,185.734,104.155,16.84,83.16
Qs 8s 2h,4d,26.8134,42.39,118.976,93.5582,57.61,179.523,103.872,17.11,82.89
Qs 8s 2h,5d,26.1545,40.68,114.019,93.4293,59.32,184.481,103.663,16.23,83.77
Qs 8s 2h,6d,27.2756,42.36,114.267,89.9071,57.64,184.233,106.551,15.60,84.40
Qs 8s 2h,7d,26.2737,42.46,116.735,91.6434,57.54,181.765,105.298,16.31,83.69
Qs 8s 2h,8d,25.6342,40.50,110.876,91.2451,59.50,187.624,105.12,8.73,91.27
Qs 8s 2h,9d,22.9752,40.60,110.842,90.9987,59.40,187.658,105.311,26.02,73.98
Qs 8s 2h,Td,18.2692,36.78,95.2663,86.3506,63.22,203.234,107.148,27.53,72.47
Qs 8s 2h,Jd,19.1875,40.48,110.161,90.7138,59.52,188.339,105.475,23.42,76.58
Qs 8s 2h,Qd,26.2739,39.20,99.9208,84.9774,60.80,198.579,108.861,10.22,89.78
Qs 8s 2h,Kd,14.455,37.93,97.5736,85.742,62.07,200.926,107.908,8.77,91.23
Qs 8s 2h,Ad,17.9503,38.28,105.976,92.2823,61.72,192.524,103.976,9.64,90.36
Qs 8s 2h,3h,25.702,39.77,109.359,91.6512,60.23,189.141,104.683,30.92,69.08
Qs 8s 2h,4h,24.6007,40.64,111.348,91.3216,59.36,187.152,105.1,28.07,71.93
Qs 8s 2h,5h,24.1161,39.69,110.719,92.9776,60.31,187.781,103.793,26.92,73.08
Qs 8s 2h,6h,25.2628,41.17,109.522,88.6775,58.83,188.978,107.073,26.20,73.80
Qs 8s 2h,7h,24.6204,41.05,110.72,89.9058,58.95,187.78,106.181,25.72,74.28
Qs 8s 2h,8h,24.567,39.83,108.009,90.3981,60.17,190.491,105.524,20.50,79.50
Qs 8s 2h,9h,20.597,38.47,101.114,87.61,61.53,197.386,106.934,35.89,64.11
Qs 8s 2h,Th,16.8615,36.23,94.5472,86.9937,63.77,203.953,106.605,35.75,64.25
Qs 8s 2h,Jh,18.5596,39.60,107.955,90.866,60.40,190.545,105.161,29.93,70.07
Qs 8s 2h,Qh,24.4494,38.80,97.8192,84.0264,61.20,200.681,109.312,23.16,76.84
Qs 8s 2h,Kh,12.9427,36.80,95.1511,86.1797,63.20,203.349,107.257,18.03,81.97
Qs 8s 2h,Ah,16.3758,36.95,102.556,92.5237,63.05,195.944,103.588,13.33,86.67
Qs 8s 2h,2s,25.6646,38.86,104.387,89.5461,61.14,194.113,105.826,1.68,98.32
Qs 8s 2h,3s,27.2129,40.23,109.875,91.0438,59.77,188.625,105.191,6.46,93.54
Qs 8s 2h,4s,26.9532,41.44,113.421,91.2273,58.56,185.079,105.355,7.95,92.05
Qs 8s 2h,5s,27.5373,40.21,110.367,91.4823,59.79,188.133,104.893,8.61,91.39
Qs 8s 2h,6s,28.8516,42.41,114.679,90.1265,57.59,183.821,106.404,11.77,88.23
Qs 8s 2h,7s,28.8061,42.36,114.966,90.4623,57.64,183.534,106.143,8.67,91.33
Qs 8s 2h,9s,25.0774,40.63,109.946,90.1914,59.37,188.553,105.871,18.14,81.86
Qs 8s 2h,Ts,22.0749,40.99,110.745,90.0683,59.01,187.755,106.05,23.55,76.45
Qs 8s 2h,Js,22.5402,42.40,114.829,90.275,57.60,183.671,106.291,23.37,76.63
Qs 8s 2h,Ks,22.0999,41.89,110.927,88.2696,58.11,187.573,107.595,7.65,92.35
Qs 8s 2h,As,18.658,37.93,106.915,93.9546,62.07,191.585,102.889,13.50,86.50
Ts 7h 4d,,10.078,44.90,122.748,91.128,55.10,175.752,106.322,17.25,82.75
Ts 7h 4d,2c,13.2196,49.33,141.129,95.3661,50.67,157.371,103.524,5.85,94.15
Ts 7h 4d,3c,13.1174,50.72,146.604,96.3562,49.28,151.896,102.735,8.41,91.59
Ts 7h 4d,4c,12.3177,47.04,135.109,95.7505,52.96,163.391,102.83,3.06,96.94
Ts 7h 4d,5c,12.17,50.09,143.275,95.3408,49.91,155.224,103.675,7.53,92.47
Ts 7h 4d,6c,13.0369,50.57,145.44,95.8606,49.43,153.06,103.224,12.74,87.26
Ts 7h 4d,7c,11.4066,47.38,137.317,96.5972,52.62,161.183,102.114,3.47,96.53
Ts 7h 4d,8c,13.4132,45.69,129.242,94.2821,54.31,169.258,103.89,29.14,70.86
Ts 7h 4d,9c,9.06048,43.38,110.778,85.1258,56.62,187.722,110.512,36.37,63.63
Ts 7h 4d,Tc,11.3442,43.93,113.527,86.1476,56.07,184.973,109.96,5.63,94.37
Ts 7h 4d,Jc,4.14564,35.73,84.0415,78.3957,64.27,214.458,111.235,38.24,61.76
Ts 7h 4d,Qc,8.20403,37.31,103.394,92.3739,62.69,195.106,103.741,20.22,79.78
Ts 7h 4d,Kc,8.38482,43.72,120.773,92.0866,56.28,177.727,105.258,18.07,81.93
Ts 7h 4d,Ac,6.61912,40.41,107.928,89.0224,59.59,190.572,106.606,15.15,84.85
Ts 7h 4d,2d,12.2413,47.18,128.948,91.1098,52.82,169.552,106.993,9.27,90.73
Ts 7h 4d,3d,12.3601,48.71,135.217,92.5273,51.29,163.283,106.123,12.27,87.73
Ts 7h 4d,5d,11.8328,47.80,131.539,91.7296,52.20,166.961,106.615,12.33,87.67
Ts 7h 4d,6d,11.9877,47.93,130.358,90.6497,52.07,168.142,107.648,17.22,82.78
Ts 7h 4d,7d,11.4371,46.25,130.524,94.0801,53.75,167.976,104.163,4.41,95.59
Ts 7h 4d,8d,12.7516,44.35,120.953,90.9072,55.65,177.547,106.348,37.61,62.39
Ts 7h 4d,9d,8.97221,41.20,103.908,84.0769,58.80,194.592,110.305,37.48,62.52
Ts 7h 4d,Td,10.7075,43.76,112.323,85.5607,56.24,186.177,110.346,5.63,94.37
Ts 7h 4d,Jd,4.83758,37.21,86.8051,77.7696,62.79,211.695,112.375,45.56,54.44
Ts 7h 4d,Qd,7.52128,36.38,98.3491,90.1114,63.62,200.151,104.869,22.74,77.26
Ts 7h 4d,Kd,7.47653,40.21,106.705,88.4483,59.79,191.795,106.934,23.08,76.92
Ts 7h 4d,Ad,6.59203,36.60,96.5128,87.8994,63.40,201.987,106.197,16.87,83.13
Ts 7h 4d,2h,12.2354,47.16,128.877,91.09,52.84,169.623,107.006,9.28,90.72
Ts 7h 4d,3h,12.3674,48.68,135.148,92.5365,51.32,163.352,106.106,12.39,87.61
Ts 7h 4d,4h,12.3734,45.90,127.949,92.9242,54.10,170.551,105.078,4.19,95.81
Ts 7h 4d,5h,11.8149,47.80,131.449,91.663,52.20,167.051,106.677,12.46,87.54
Ts 7h 4d,6h,11.9542,47.88,130.054,90.5497,52.12,168.446,107.721,17.66,82.34
Ts 7h 4d,8h,12.7676,44.37,120.934,90.851,55.63,177.566,106.399,37.90,62.10
Ts 7h 4d,9h,8.95744,41.25,104.116,84.127,58.75,194.384,110.295,37.66,62.34
Ts 7h 4d,Th,10.5374,43.95,112.673,85.46,56.05,185.827,110.508,5.23,94.77
Ts 7h 4d,Jh,4.77962,36.78,83.9305,76.062,63.22,214.569,113.137,46.42,53.58
Ts 7h 4d,Qh,7.51618,35.94,95.9459,88.9812,64.06,202.554,105.402,23.81,76.19
Ts 7h 4d,Kh,7.48962,40.17,106.655,88.4957,59.83,191.845,106.889,23.26,76.74
Ts 7h 4d,Ah,6.61524,36.66,96.7041,87.9192,63.34,201.796,106.204,18.33,81.67
Ts 7h 4d,2s,12.2519,47.79,132.749,92.5839,52.21,165.751,105.832,8.58,91.42
Ts 7h 4d,3s,12.2962,49.23,138.845,94.0153,50.77,159.655,104.818,11.81,88.19
Ts 7h 4d,4s,12.3504,46.56,131.323,94.0191,53.44,167.177,104.275,3.78,96.22
Ts 7h 4d,5s,11.8059,48.35,134.901,92.9949,51.65,163.599,105.591,11.37,88.63
Ts 7h 4d,6s,11.7106,48.45,133.581,91.9083,51.55,164.919,106.634,17.84,82.16
Ts 7h 4d,7s,11.4745,47.10,134.799,95.4002,52.90,163.701,103.15,3.82,96.18
Ts 7h 4d,8s,12.3932,44.60,122.593,91.6159,55.40,175.907,105.848,38.91,61.09
Ts 7h 4d,9s,8.88774,41.70,106.698,85.2974,58.30,191.802,109.657,36.47,63.53
Ts 7h 4d,Js,4.35974,36.12,82.6486,76.2717,63.88,215.851,112.634,46.12,53.88
Ts 7h 4d,Qs,7.46341,35.60,95.2751,89.2105,64.40,203.225,105.188,23.46,76.54
Ts 7h 4d,Ks,7.73081,40.62,109.487,89.8423,59.38,189.013,106.107,23.86,76.14
Ts 7h 4d,As,6.53328,37.94,101.993,89.6019,62.06,196.507,105.552,18.09,81.91
  ,,23.5575,42.33,115.319,90.8053,57.67,183.181,105.882,14.65,85.35
